Loyalty Number,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,Cohort,Status,Enrollment Date,Cancellation Date,Tenure Months,Salary Clean,Salary Missing,CLV Band,Card Rank
201574,Ontario,Ottawa,K1F 2R2,Female,Bachelor,51375.0,Married,Star,3893.31,Standard,2015,4,2015.0,12.0,Pre-2018 Standard,Cancelled,2015-04-01,2015-12-01,8,51375.0,False,<4k,3
403361,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,70222.0,Single,Star,3895.03,Standard,2017,10,,,Pre-2018 Standard,Active,2017-10-01,,14,70222.0,False,<4k,3
543918,Quebec,Montreal,H2T 2J6,Male,High School or Below,40736.0,Married,Star,3896.57,Standard,2012,11,,,Pre-2018 Standard,Active,2012-11-01,,73,40736.0,False,<4k,3
806030,Alberta,Calgary,T3E 2V9,Female,Bachelor,75861.0,Married,Star,3903.47,Standard,2018,5,,,2018 Standard,Active,2018-05-01,,7,75861.0,False,<4k,3
119200,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,69835.0,Divorced,Star,3903.8,Standard,2017,5,,,Pre-2018 Standard,Active,2017-05-01,,19,69835.0,False,<4k,3
938981,Alberta,Edmonton,T3G 6Y6,Female,College,,Single,Aurora,5337.35,2018 Promotion,2018,4,,,2018 Promotion,Active,2018-04-01,,8,,True,4-6k,1
238119,Quebec,Montreal,H2T 9K8,Male,Bachelor,75980.0,Married,Star,3906.67,Standard,2013,5,,,Pre-2018 Standard,Active,2013-05-01,,67,75980.0,False,<4k,3
730388,Ontario,Thunder Bay,K8T 5M5,Male,College,,Single,Star,3907.03,Standard,2012,5,,,Pre-2018 Standard,Active,2012-05-01,,79,,True,<4k,3
834891,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,54460.0,Married,Star,3911.12,Standard,2017,3,2017.0,4.0,Pre-2018 Standard,Cancelled,2017-03-01,2017-04-01,1,54460.0,False,<4k,3
127400,British Columbia,Whistler,V6T 1Y8,Female,College,,Single,Star,3914.72,Standard,2014,6,,,Pre-2018 Standard,Active,2014-06-01,,54,,True,<4k,3
324557,Quebec,Montreal,H2Y 2W2,Female,College,,Single,Star,3914.72,Standard,2013,2,,,Pre-2018 Standard,Active,2013-02-01,,70,,True,<4k,3
742002,Ontario,Toronto,P2T 6G3,Female,College,,Single,Star,3915.8,Standard,2016,5,,,Pre-2018 Standard,Active,2016-05-01,,31,,True,<4k,3
536567,Alberta,Peace River,T9O 2W2,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,5,,,Pre-2018 Standard,Active,2016-05-01,,31,80697.0,False,<4k,3
704835,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,9,,,Pre-2018 Standard,Active,2016-09-01,,27,80697.0,False,<4k,3
733338,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,6,2017.0,2.0,Pre-2018 Standard,Cancelled,2016-06-01,2017-02-01,8,80697.0,False,<4k,3
758635,Quebec,Montreal,H2T 9K8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,6,,,2018 Standard,Active,2018-06-01,,6,80697.0,False,<4k,3
823048,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,5,,,2018 Standard,Active,2018-05-01,,7,80697.0,False,<4k,3
612905,Ontario,Toronto,P2T 6G3,Female,College,,Married,Star,3920.51,Standard,2015,2,,,Pre-2018 Standard,Active,2015-02-01,,46,,True,<4k,3
679908,Quebec,Montreal,H4G 3T4,Female,Bachelor,77601.0,Married,Star,3921.02,Standard,2015,8,,,Pre-2018 Standard,Active,2015-08-01,,40,77601.0,False,<4k,3
704150,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,77601.0,Married,Star,3921.02,Standard,2014,10,,,Pre-2018 Standard,Active,2014-10-01,,50,77601.0,False,<4k,3
869743,Ontario,Sudbury,M5V 1G5,Female,Bachelor,73236.0,Single,Star,3924.42,Standard,2016,11,2017.0,7.0,Pre-2018 Standard,Cancelled,2016-11-01,2017-07-01,8,73236.0,False,<4k,3
596179,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,50879.0,Single,Star,3933.81,Standard,2014,3,,,Pre-2018 Standard,Active,2014-03-01,,57,50879.0,False,<4k,3
370450,Ontario,Thunder Bay,K8T 5M5,Female,High School or Below,62160.0,Married,Star,3934.1,Standard,2012,11,,,Pre-2018 Standard,Active,2012-11-01,,73,62160.0,False,<4k,3
501030,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,93541.0,Married,Star,3934.71,Standard,2017,3,,,Pre-2018 Standard,Active,2017-03-01,,21,93541.0,False,<4k,3
878633,Ontario,Trenton,K8V 4B2,Female,Doctor,163974.0,Married,Star,3936.79,Standard,2013,12,,,Pre-2018 Standard,Active,2013-12-01,,60,163974.0,False,<4k,3
285938,Quebec,Montreal,H2T 2J6,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2014,9,,,Pre-2018 Standard,Active,2014-09-01,,51,75827.0,False,<4k,3
588237,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2013,11,,,Pre-2018 Standard,Active,2013-11-01,,61,75827.0,False,<4k,3
645280,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2012,12,,,Pre-2018 Standard,Active,2012-12-01,,72,75827.0,False,<4k,3
864324,Quebec,Quebec City,G1B 3L5,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2018,6,,,2018 Standard,Active,2018-06-01,,6,75827.0,False,<4k,3
124678,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2013,6,,,Pre-2018 Standard,Active,2013-06-01,,66,152955.0,False,<4k,3
186015,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,9,,,Pre-2018 Standard,Active,2015-09-01,,39,152955.0,False,<4k,3
461108,Quebec,Montreal,H2T 9K8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2018,10,,,2018 Standard,Active,2018-10-01,,2,152955.0,False,<4k,3
589580,British Columbia,Whistler,V6T 1Y8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,8,,,Pre-2018 Standard,Active,2015-08-01,,40,152955.0,False,<4k,3
623688,Ontario,London,M5B 3E4,Female,Doctor,152955.0,Married,Star,3954.34,Standard,2016,5,,,Pre-2018 Standard,Active,2016-05-01,,31,152955.0,False,<4k,3
386082,Alberta,Edmonton,T9G 1W3,Female,Bachelor,30486.0,Divorced,Aurora,5391.97,2018 Promotion,2018,3,2018.0,11.0,2018 Promotion,Cancelled,2018-03-01,2018-11-01,8,30486.0,False,4-6k,1
256147,Ontario,Toronto,M1R 4K3,Female,College,,Married,Star,3958.0,Standard,2012,9,,,Pre-2018 Standard,Active,2012-09-01,,75,,True,<4k,3
329382,Quebec,Montreal,H2T 9K8,Male,College,,Single,Star,3961.59,Standard,2012,8,,,Pre-2018 Standard,Active,2012-08-01,,76,,True,<4k,3
140392,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,96814.0,Married,Star,3963.39,Standard,2013,7,,,Pre-2018 Standard,Active,2013-07-01,,65,96814.0,False,<4k,3
112522,Alberta,Peace River,T9O 2W2,Male,Bachelor,49846.0,Married,Aurora,5636.74,2018 Promotion,2018,2,,,2018 Promotion,Active,2018-02-01,,10,49846.0,False,4-6k,1
230908,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,217538.0,Divorced,Star,3964.15,Standard,2012,5,,,Pre-2018 Standard,Active,2012-05-01,,79,217538.0,False,<4k,3
972581,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,48744.0,Married,Star,3964.53,Standard,2016,2,,,Pre-2018 Standard,Active,2016-02-01,,34,48744.0,False,<4k,3
357549,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,76410.0,Single,Star,3964.73,Standard,2018,9,,,2018 Standard,Active,2018-09-01,,3,76410.0,False,<4k,3
330694,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,105053.0,Married,Aurora,6172.91,2018 Promotion,2018,2,,,2018 Promotion,Active,2018-02-01,,10,105053.0,False,6-10k,1
910875,Quebec,Hull,J8Y 3Z5,Female,Bachelor,84914.0,Married,Star,3966.13,Standard,2012,11,,,Pre-2018 Standard,Active,2012-11-01,,73,84914.0,False,<4k,3
501704,Quebec,Hull,J8Y 3Z5,Male,College,,Divorced,Star,3974.86,Standard,2013,5,,,Pre-2018 Standard,Active,2013-05-01,,67,,True,<4k,3
529098,British Columbia,Vancouver,V6E 3Z3,Female,College,,Divorced,Star,3974.86,Standard,2017,10,,,Pre-2018 Standard,Active,2017-10-01,,14,,True,<4k,3
265297,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,60519.0,Married,Star,3978.67,Standard,2018,7,,,2018 Standard,Active,2018-07-01,,5,60519.0,False,<4k,3
567875,Quebec,Quebec City,G1B 3L5,Female,Bachelor,102457.0,Married,Star,3979.72,Standard,2017,5,,,Pre-2018 Standard,Active,2017-05-01,,19,102457.0,False,<4k,3
688524,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,103862.0,Married,Star,3980.42,Standard,2013,3,,,Pre-2018 Standard,Active,2013-03-01,,69,103862.0,False,<4k,3
269070,British Columbia,Vancouver,V6E 3Z3,Male,Master,93153.0,Married,Star,3985.32,Standard,2013,1,,,Pre-2018 Standard,Active,2013-01-01,,71,93153.0,False,<4k,3
387705,Quebec,Hull,J8Y 3Z5,Female,Master,93153.0,Married,Star,3985.32,Standard,2013,4,,,Pre-2018 Standard,Active,2013-04-01,,68,93153.0,False,<4k,3
923293,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,86793.0,Divorced,Star,3985.55,Standard,2016,6,,,Pre-2018 Standard,Active,2016-06-01,,30,86793.0,False,<4k,3
283314,Ontario,Toronto,M2Z 4K1,Female,Bachelor,72127.0,Married,Star,3991.73,Standard,2013,4,2015.0,2.0,Pre-2018 Standard,Cancelled,2013-04-01,2015-02-01,22,72127.0,False,<4k,3
322102,British Columbia,Vancouver,V5R 1W3,Male,College,,Married,Star,3992.58,Standard,2013,8,2014.0,4.0,Pre-2018 Standard,Cancelled,2013-08-01,2014-04-01,8,,True,<4k,3
789157,British Columbia,Vancouver,V6E 3Z3,Female,College,,Single,Star,3995.36,Standard,2018,9,,,2018 Standard,Active,2018-09-01,,3,,True,<4k,3
654748,Ontario,Ottawa,K1F 2R2,Female,Bachelor,65721.0,Married,Star,3996.77,Standard,2017,4,2017.0,12.0,Pre-2018 Standard,Cancelled,2017-04-01,2017-12-01,8,65721.0,False,<4k,3
984713,Ontario,Sudbury,M5V 1G5,Female,College,,Single,Star,3997.48,Standard,2018,8,,,2018 Standard,Active,2018-08-01,,4,,True,<4k,3
114835,Ontario,Toronto,M1R 4K3,Female,Master,101354.0,Divorced,Star,4001.52,Standard,2017,7,,,Pre-2018 Standard,Active,2017-07-01,,17,101354.0,False,4-6k,3
328936,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,53118.0,Married,Star,4005.72,Standard,2015,3,,,Pre-2018 Standard,Active,2015-03-01,,45,53118.0,False,4-6k,3
845864,British Columbia,Vancouver,V5R 1W3,Female,Doctor,115440.0,Married,Star,4013.85,Standard,2013,4,,,Pre-2018 Standard,Active,2013-04-01,,68,115440.0,False,4-6k,3
645265,Quebec,Quebec City,G1B 3L5,Male,Bachelor,73313.0,Married,Star,4013.95,Standard,2013,3,,,Pre-2018 Standard,Active,2013-03-01,,69,73313.0,False,4-6k,3
223587,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,100167.0,Married,Star,4013.96,Standard,2017,8,,,Pre-2018 Standard,Active,2017-08-01,,16,100167.0,False,4-6k,3
158560,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2015,12,,,Pre-2018 Standard,Active,2015-12-01,,36,59262.0,False,4-6k,3
417584,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2014,5,,,Pre-2018 Standard,Active,2014-05-01,,55,59262.0,False,4-6k,3
566033,Ontario,Toronto,M2P 4F6,Male,College,,Married,Star,4015.21,Standard,2015,6,2016.0,7.0,Pre-2018 Standard,Cancelled,2015-06-01,2016-07-01,13,,True,4-6k,3
472521,Alberta,Edmonton,T9G 1W3,Male,College,,Married,Aurora,6265.34,2018 Promotion,2018,3,,,2018 Promotion,Active,2018-03-01,,9,,True,6-10k,1
425854,Ontario,Toronto,P1J 8T7,Female,High School or Below,39079.0,Married,Star,4016.13,Standard,2016,11,,,Pre-2018 Standard,Active,2016-11-01,,25,39079.0,False,4-6k,3
174896,Alberta,Edmonton,T3G 6Y6,Female,College,,Single,Star,4016.54,Standard,2015,4,2015.0,12.0,Pre-2018 Standard,Cancelled,2015-04-01,2015-12-01,8,,True,4-6k,3
695855,Quebec,Montreal,H2T 2J6,Female,College,,Divorced,Star,4019.38,Standard,2013,4,,,Pre-2018 Standard,Active,2013-04-01,,68,,True,4-6k,3
699511,British Columbia,West Vancouver,V6V 8Z3,Female,College,,Divorced,Star,4019.38,Standard,2014,7,,,Pre-2018 Standard,Active,2014-07-01,,53,,True,4-6k,3
377322,Alberta,Edmonton,T9G 1W3,Female,Bachelor,62518.0,Married,Star,4023.81,Standard,2016,5,,,Pre-2018 Standard,Active,2016-05-01,,31,62518.0,False,4-6k,3
511053,Ontario,Toronto,M2M 7K8,Male,Bachelor,62518.0,Married,Star,4023.81,Standard,2015,3,,,Pre-2018 Standard,Active,2015-03-01,,45,62518.0,False,4-6k,3
890753,Quebec,Montreal,H2Y 2W2,Male,College,,Married,Star,4025.1,Standard,2017,9,,,Pre-2018 Standard,Active,2017-09-01,,15,,True,4-6k,3
796670,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,47536.0,Married,Star,4035.68,Standard,2014,2,,,Pre-2018 Standard,Active,2014-02-01,,58,47536.0,False,4-6k,3
556136,Quebec,Montreal,H4G 3T4,Female,College,,Married,Star,4035.77,Standard,2017,1,,,Pre-2018 Standard,Active,2017-01-01,,23,,True,4-6k,3
513081,Alberta,Edmonton,T9G 1W3,Female,Bachelor,98320.0,Married,Star,4037.5,Standard,2015,11,,,Pre-2018 Standard,Active,2015-11-01,,37,98320.0,False,4-6k,3
930718,Quebec,Montreal,H2T 2J6,Female,High School or Below,63577.0,Married,Star,4037.55,Standard,2015,7,,,Pre-2018 Standard,Active,2015-07-01,,41,63577.0,False,4-6k,3
235872,Ontario,Toronto,P1J 8T7,Female,Doctor,89057.0,Single,Star,4046.94,Standard,2013,3,,,Pre-2018 Standard,Active,2013-03-01,,69,89057.0,False,4-6k,3
881142,British Columbia,Vancouver,V1E 4R6,Female,Doctor,89057.0,Single,Star,4046.94,Standard,2016,9,2017.0,5.0,Pre-2018 Standard,Cancelled,2016-09-01,2017-05-01,8,89057.0,False,4-6k,3
295147,British Columbia,Kelowna,V09 2E9,Male,Bachelor,99814.0,Married,Star,4048.16,Standard,2017,5,,,Pre-2018 Standard,Active,2017-05-01,,19,99814.0,False,4-6k,3
306110,Ontario,Toronto,P1J 8T7,Male,Bachelor,64587.0,Married,Star,4053.37,Standard,2013,5,,,Pre-2018 Standard,Active,2013-05-01,,67,64587.0,False,4-6k,3
295217,Ontario,Toronto,M1R 4K3,Female,Doctor,67411.0,Divorced,Star,4059.57,Standard,2016,6,,,Pre-2018 Standard,Active,2016-06-01,,30,67411.0,False,4-6k,3
967300,Alberta,Edmonton,T9G 1W3,Male,Bachelor,62630.0,Single,Aurora,6364.9,2018 Promotion,2018,3,2018.0,11.0,2018 Promotion,Cancelled,2018-03-01,2018-11-01,8,62630.0,False,6-10k,1
591731,Ontario,Toronto,P2T 6G3,Male,Bachelor,51370.0,Married,Star,4064.18,Standard,2013,9,,,Pre-2018 Standard,Active,2013-09-01,,63,51370.0,False,4-6k,3
326905,British Columbia,Vancouver,V5R 1W3,Female,College,,Married,Star,4068.09,Standard,2017,2,,,Pre-2018 Standard,Active,2017-02-01,,22,,True,4-6k,3
375511,Quebec,Montreal,H2Y 2W2,Female,Bachelor,59300.0,Single,Star,4070.05,Standard,2014,7,,,Pre-2018 Standard,Active,2014-07-01,,53,59300.0,False,4-6k,3
485283,Ontario,Toronto,P1J 8T7,Male,Bachelor,102479.0,Single,Star,4072.85,Standard,2017,9,,,Pre-2018 Standard,Active,2017-09-01,,15,102479.0,False,4-6k,3
920716,Alberta,Peace River,T9O 2W2,Female,College,,Single,Aurora,7098.91,2018 Promotion,2018,4,,,2018 Promotion,Active,2018-04-01,,8,,True,6-10k,1
797685,Alberta,Edmonton,T3G 6Y6,Male,College,,Married,Star,4079.13,Standard,2017,6,,,Pre-2018 Standard,Active,2017-06-01,,18,,True,4-6k,3
216467,New Brunswick,Fredericton,E3B 2H2,Male,Doctor,90995.0,Married,Star,4083.56,Standard,2014,7,,,Pre-2018 Standard,Active,2014-07-01,,53,90995.0,False,4-6k,3
958839,Quebec,Montreal,H4G 3T4,Male,Doctor,90995.0,Married,Star,4083.56,Standard,2018,8,,,2018 Standard,Active,2018-08-01,,4,90995.0,False,4-6k,3
539673,Ontario,Toronto,P5S 6R4,Female,Bachelor,49558.0,Married,Star,4087.51,Standard,2015,2,2018.0,6.0,Pre-2018 Standard,Cancelled,2015-02-01,2018-06-01,40,49558.0,False,4-6k,3
746226,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,63501.0,Married,Star,4089.04,Standard,2018,1,,,2018 Standard,Active,2018-01-01,,11,63501.0,False,4-6k,3
484718,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,76367.0,Single,Star,4089.46,Standard,2012,6,,,Pre-2018 Standard,Active,2012-06-01,,78,76367.0,False,4-6k,3
528492,Quebec,Hull,J8Y 3Z5,Male,Bachelor,60360.0,Married,Star,4090.75,Standard,2015,6,2018.0,11.0,Pre-2018 Standard,Cancelled,2015-06-01,2018-11-01,41,60360.0,False,4-6k,3
995091,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,55454.0,Married,Star,4095.2,Standard,2017,9,,,Pre-2018 Standard,Active,2017-09-01,,15,55454.0,False,4-6k,3
632793,Quebec,Hull,J8Y 3Z5,Female,High School or Below,60370.0,Single,Star,4097.37,Standard,2016,6,,,Pre-2018 Standard,Active,2016-06-01,,30,60370.0,False,4-6k,3
912220,British Columbia,Vancouver,V6E 3Z3,Male,High School or Below,60370.0,Single,Star,4097.37,Standard,2013,8,2014.0,4.0,Pre-2018 Standard,Cancelled,2013-08-01,2014-04-01,8,60370.0,False,4-6k,3
382197,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,69367.0,Married,Star,4100.47,Standard,2017,10,2018.0,6.0,Pre-2018 Standard,Cancelled,2017-10-01,2018-06-01,8,69367.0,False,4-6k,3
705196,British Columbia,Whistler,V6T 1Y8,Female,College,,Single,Star,4101.94,Standard,2013,11,,,Pre-2018 Standard,Active,2013-11-01,,61,,True,4-6k,3
123094,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,92223.0,Married,Star,4103.85,Standard,2018,1,,,2018 Standard,Active,2018-01-01,,11,92223.0,False,4-6k,3
366540,Alberta,Calgary,T3E 2V9,Female,Bachelor,90077.0,Married,Aurora,7288.88,2018 Promotion,2018,3,,,2018 Promotion,Active,2018-03-01,,9,90077.0,False,6-10k,1
119488,Quebec,Tremblant,H5Y 2S9,Female,College,,Single,Star,4108.26,Standard,2017,6,,,Pre-2018 Standard,Active,2017-06-01,,18,,True,4-6k,3
287750,Ontario,Ottawa,K1F 2R2,Female,College,,Single,Star,4109.31,Standard,2012,8,,,Pre-2018 Standard,Active,2012-08-01,,76,,True,4-6k,3
735846,Ontario,Trenton,K8V 4B2,Male,Bachelor,95318.0,Married,Star,4109.79,Standard,2012,8,,,Pre-2018 Standard,Active,2012-08-01,,76,95318.0,False,4-6k,3
606026,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,55207.0,Single,Star,4110.62,Standard,2015,7,,,Pre-2018 Standard,Active,2015-07-01,,41,55207.0,False,4-6k,3
460291,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,55476.0,Divorced,Star,4111.2,Standard,2015,9,,,Pre-2018 Standard,Active,2015-09-01,,39,55476.0,False,4-6k,3
743001,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,79533.0,Married,Star,4111.89,Standard,2017,5,,,Pre-2018 Standard,Active,2017-05-01,,19,79533.0,False,4-6k,3
869799,Ontario,Toronto,P1W 1K4,Female,Bachelor,79533.0,Married,Star,4111.89,Standard,2015,3,,,Pre-2018 Standard,Active,2015-03-01,,45,79533.0,False,4-6k,3
520321,Ontario,London,M5B 3E4,Female,Doctor,237245.0,Married,Star,4112.84,Standard,2015,9,2016.0,5.0,Pre-2018 Standard,Cancelled,2015-09-01,2016-05-01,8,237245.0,False,4-6k,3
279419,British Columbia,West Vancouver,V6V 8Z3,Female,College,,Single,Star,4117.37,Standard,2013,7,,,Pre-2018 Standard,Active,2013-07-01,,65,,True,4-6k,3
170585,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2013,8,,,Pre-2018 Standard,Active,2013-08-01,,64,82675.0,False,4-6k,3
188340,Ontario,Toronto,M2M 7K8,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2017,4,,,Pre-2018 Standard,Active,2017-04-01,,20,82675.0,False,4-6k,3
670817,Ontario,Ottawa,K1F 2R2,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2016,12,,,Pre-2018 Standard,Active,2016-12-01,,24,82675.0,False,4-6k,3
